05-12,0,0
05-13,0,0
05-14,0,32
05-15,0,30
05-16,0,0
05-17,0,0
05-18,32,46
05-19,34,0
05-20,0,73
05-21,39,34
05-22,0,0
05-23,44,44
05-24,0,22
05-25,0,21
05-26,0,0
05-27,35,0
05-28,0,0
05-29,100,0
05-30,0,0
05-31,0,0
06-01,0,23
06-02,0,23
06-03,0,24
06-04,0,32
06-05,52,33
06-06,0,0
06-07,32,0
06-08,0,0
06-09,68,0
06-10,35,0
06-11,75,36
06-12,0,0
06-13,0,0
06-14,0,0
06-15,0,0
06-16,0,0
06-17,0,0
06-18,0,34
06-19,0,0
06-20,0,0
06-21,39,0
06-22,52,0
06-23,38,0
06-24,39,24
06-25,0,0
06-26,0,0
06-27,0,0
06-28,35,24
06-29,38,24
06-30,0,51
07-01,36,0
07-02,0,0
07-03,0,100
07-04,0,0
07-05,34,22
07-06,0,0
07-07,0,22
07-08,0,44
07-09,36,34
07-10,0,68
07-11,0,0
07-12,66,0
07-13,0,22
07-14,0,0
07-15,0,0
07-16,0,34
07-17,0,0
07-18,0,26
07-19,0,39
07-20,0,21
07-21,0,0
07-22,37,0
07-23,38,68
07-24,0,0
07-25,0,0
07-26,34,21
07-27,0,22
07-28,35,45
07-29,0,23
07-30,0,0
07-31,0,0
08-01,54,0
08-02,0,22
08-03,0,0
08-04,0,0
08-05,35,23
08-06,0,0
08-07,59,0
08-08,0,20
08-09,33,0
08-10,0,0
08-11,33,0
08-12,0,22
08-13,37,0
08-14,53,0
08-15,0,20
08-16,0,0
08-17,0,0
08-18,0,0
08-19,0,0
08-20,37,0
08-21,0,0
08-22,54,20
08-23,0,0
08-24,0,0
08-25,42,0
08-26,0,0
08-27,0,34
08-28,0,0
08-29,0,0
08-30,0,20
08-31,0,61
09-01,72,25
09-02,0,21
09-03,35,31
09-04,0,30
09-05,0,0
09-06,0,21
09-07,33,43
09-08,36,22
09-09,0,0
09-10,0,0
09-11,0,60
09-12,0,21
09-13,0,0
09-14,33,44
09-15,34,43
09-16,0,0
09-17,68,0
09-18,0,32
09-19,48,21
09-20,100,0
09-21,0,0
09-22,0,0
09-23,0,0
09-24,71,30
09-25,0,0
09-26,0,0
09-27,35,19
09-28,0,20
09-29,31,0
09-30,31,0
10-01,0,28
10-02,0,0
10-03,42,0
10-04,31,20
10-05,32,0
10-06,0,0
10-07,0,0
10-08,0,0
10-09,0,31
10-10,47,27
10-11,0,20
10-12,0,0
10-13,52,21
10-14,0,0
10-15,34,59
10-16,0,0
10-17,0,0
10-18,29,19
10-19,31,0
10-20,0,0
10-21,0,0
10-22,0,0
10-23,0,0
10-24,0,0
10-25,33,19
10-26,0,20
10-27,31,19
10-28,33,0
10-29,0,0
10-30,0,0
10-31,0,20
11-01,63,20
11-02,31,0
11-03,63,0
11-04,0,43
11-05,0,0
11-06,44,0
11-07,42,0
11-08,0,20
11-09,0,45
11-10,57,0
11-11,0,0
11-12,0,0
11-13,44,0
11-14,85,19
11-15,61,0
11-16,0,0
11-17,0,21
11-18,0,0
11-19,0,32
11-20,0,0
11-21,0,0
11-22,31,57
11-23,0,0
11-24,0,20
11-25,0,21
11-26,0,0
11-27,45,0
11-28,0,38
11-29,0,19
11-30,30,0
12-01,0,0
12-02,0,0
12-03,0,31
12-04,0,0
12-05,0,0
12-06,0,62
12-07,0,62
12-08,31,20
12-09,32,22
12-10,0,0
12-11,0,0
12-12,88,0
12-13,0,20
12-14,0,20
12-15,32,64
12-16,62,0
12-17,32,0
12-18,0,0
12-19,0,19
12-20,28,0
12-21,0,20
12-22,30,21
12-23,0,0
12-24,0,0
12-25,0,0
12-26,0,37
12-27,0,56
12-28,29,19
12-29,62,20
12-30,31,0
12-31,0,33
